Qty,Designator,Comment,Package,Device,LCSC Part #,Description
4,"R5, R10, R16, R17",0,805,RESISTOR0805,C17477,Generic Resistor Package
1,R21,0.1,1206,RESISTOR1206,C25334,Generic Resistor Package
1,D3,NSR0240HT1G,SOD-323,DIODE-SCHOTTKY,C152519,Schottky diode
1,C11,100uF,1206,C1206,C15008,Ceramic capacitor
2,"R4, R9",10k,805,RESISTOR0805,C17414,Generic Resistor Package
5,"C2, C3, C4, C5, C8",10nF,603,10NF-0603-50V-10%,C57112,Ceramic capacitor
3,"R6, R11, R12",1k,805,RESISTOR0805,C17513,Generic Resistor Package
4,"C1, C6, C7, C9",1uF,805,C0805,C28323,Generic Resistor Package
1,R13,20,805,RESISTOR0805,C17544,Generic Resistor Package
2,"R7, R8",220k,805,RESISTOR0805,C17556,Generic Resistor Package
1,Q1,2N7002,SOT23-3,MOSFET-NCH,C8545,N-channel MOSFETs
2,"R1, R2",2k,805,RESISTOR0805,C17604,Generic Resistor Package
1,X1,32.768KHZ-FC-135,32.768KHZ-FC-135,32.768KHZ-FC-135,C32346,RTC Crystal
1,R18,47k,805,RESISTOR0805,C17713,Generic Resistor Package
1,R14,5.6k,805,RESISTOR0805,C4382,Generic Resistor Package
1,Q2,AO3400A,SOT23-3,MOSFET-NCH,C20917,N-channel MOSFETs
1,U5,ATMEGA328P-AU,QFP80P900X900X120-32N,ATMEGA328P-AU,C14877,ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32
1,U1,INA199A3DCKR,SOT65P210X110-6N,INA199A3DCKR,C132098,Current sense amplifier
1,U2,MCP1703T-3302E/CB,SOT-23A_MC,MCP1703T-3302E/CB,C53352,3.3V low power linear regulator
1,U3,W25X40CLSNIG,WIN_SN-8,W25X40CLSNIG,C113674,4Mb SPI flash
1,C10,6pF,603,C0603,C37474,Ceramic capacitor
1,C12,12pF,603,C0603,C38523,Ceramic capacitor
1,R15,3.3k,805,RESISTOR0805,C26010,Generic Resistor Package
