Designator,Mid X,Mid Y,Layer,Rotation,,
C1,15.58,25.43,Bottom,90, 1uF,805
C2,13,6.4,Bottom,90, 10nF,603
C3,36.6,14,Bottom,90, 10nF,603
C4,36,8.4,Bottom,0, 10nF,603
C5,9.4,34.8,Bottom,90, 10nF,603
C6,22.4,13.4,Bottom,90, 1uF,805
C7,19.6,3,Bottom,270, 1uF,805
C8,36,10.4,Bottom,0, 10nF,603
C9,18.2,44.2,Bottom,270, 1uF,805
C10,19.2,17.6,Bottom,180, 6pF,603
C11,14.6,44.2,Bottom,0, 100uF,1206
C12,19.4,19.4,Bottom,180, 12pF,603
D3,16,29.2,Bottom,270, NSR0240HT1G, SOD-323
J2,24,46,Bottom,270, U.FL, U.FL
Q1,6.05,22.6,Bottom,180, 2N7002, SOT23-3
Q2,9.45,23.4,Bottom,180, AO3400A, SOT23-3
Q3,2.65,22.6,Bottom,180, S9015, SOT23-3
R1,35.36,29.97,Bottom,90, 2k,805
R2,34.7,23.68,Bottom,270, 2k,805
R4,36.69,23.74,Bottom,90, 10k,805
R5,35.6,18,Bottom,90,0,805
R6,10.6,8.2,Bottom,270, 1k,805
R7,12.2,30.6,Bottom,0, 220k,805
R8,8.4,31.2,Bottom,180, 220k,805
R9,25.4,6,Bottom,0, 10k,805
R10,28,43.2,Bottom,90,0,805
R11,34,41.5,Bottom,270, 1k,805
R12,34.6,33.6,Bottom,270, 1k,805
R13,6,26.8,Bottom,180,20,805
R14,3,26.6,Bottom,90, 5.6k,805
R15,12.6,22.6,Bottom,90, 3.3k,805
R16,26.2,2.6,Bottom,270,0,805
R17,15,20.6,Bottom,270,0,805
R18,20.2,46.4,Bottom,90, 47k,805
R19,43.2,29,Bottom,270, 10k,805
R20,8.8,29.2,Bottom,180, 10k,805
R21,10.8,37.8,Bottom,180,0.1,1206
U$2,25,32,Bottom,270, SX1262, SX1262
U1,14.6,40.4,Bottom,0, INA199B3DCKR, SOT65P210X110-6N
U2,10.4,41.2,Bottom,180, MCP1703T-3302E/CB, SOT-23A_MC
U4,22.6,3.4,Bottom,180, W25X40CLUXIG_TR, PSON50P300X200X60-9N
U5,29,14,Bottom,90, ATMEGA328PB-AU, QFP80P900X900X120-32N
X1,22.2,17.35,Bottom,270, 32.768KHZ-FC-135, 32.768KHZ-FC-135
